date;message_id;reply_to_msg_id;channel_name;channel_id;sender;sender_id;message;views;comments;reactions;channel_members_count;channel_url;reactions_total;forwarded;forwards;topic_title
2026-03-13 09:49:31+00:00;5766;;Анжела Петкова | ИИ на практике;1277008397;;-1;MediaMessage;773;;;52877;https://t.me/anjela_p;0;1;6;
2026-03-13 09:49:31+00:00;5765;;Анжела Петкова | ИИ на практике;1277008397;;-1;Господи, Анжела, большое человеческое СПАСИБО за воркшоп по тредс!   Я 16 часов в подряд (с 11 утра до 3-х ночи) проходила воркшоп, который длится 4.5 часа!   Я просто остановиться не могла как все ахренительно-гениально-просто!   А еще расширяющие, душевно, живо, весело, по настоящему!   Я заюзала всех ассистентов, наваяла крутейшего контента на месяц вперед (причем практически во все соцсети заготовки)   Еще сразу **создала рабочие связки инста - тредс - телега.  **Благодарю за отдельную инфу по контент заводу, в самое сердечко!   Вчера выложила 4 тредса, пока откатывала инструменты: за сутки просмотры с 500+ выросли до 3.500 🎯💥   Такую крутейшую инфу и инструменты вполне можно было бы продавать и за 100к.  **И оно все равно стоило бы каждого рубля. ** Поэтому отдельное тебе спасибо еще и за стоимость ❤️;778;3;{':fire:': 10, ':red_heart:': 9};52877;https://t.me/anjela_p;19;1;6;
2026-03-13 09:49:24+00:00;5764;;Анжела Петкова | ИИ на практике;1277008397;;-1;"Формат воркшопов — это любимый формат многих постоянных клиентов. Потому что за 3ч плотного внедрения ты выходишь с конкретными инструментами, которые дают результат, а не просто ""понимание как это работает"".  Вот вам наглядный отзыв с прошлых воркшопов👇";779;1;{':fire:': 3};52877;https://t.me/anjela_p;3;0;3;
2026-03-12 10:23:48+00:00;5763;;Анжела Петкова | ИИ на практике;1277008397;;-1;Чем агент в ClaudeCowork отличается от последовательности задач просто в чате Claude?  Хороший вопрос 😁 Отвечаю  Попробуйте в обычном чате получить не 3 единицы контента, а 16. Для трёх разных соцсетей. Внутри каждой рилсы в четырёх форматах, посты разной длины, отдельная статья, тредсы. Со своим голосом, своими примерами, своими критериями качества для каждого формата.  Не получится. Контекст поплывёт, качество упадёт, где-то что-то потеряется. Агент может и вот почему 👇  **Первое - скиллы** В обычном диалоге у вас один промпт. Агент для каждого этапа задачи вызывает отдельный скилл. Свою инструкцию со всеми файлами, примерами, критериями, нюансами именно для этого шага. Написание рилса - один скилл. Написание статьи -  другой. Оформление поста - третий. Это позволяет каждый этап выполнить качественно,  даже когда этих этапов десятки.  **Второе - коннекторы** Обычный чат живёт внутри себя. Агент имеет доступ к внешнему миру. Берёт данные из Notion, Telegram-бота, файлов. Отправляет результат обратно куда нужно без вашего участия.  И коннекторов будет становиться всё больше - это только начало.  **Третье - автономность** Агент сам решает как разбить задачу на шаги, какие инструменты вызвать, в какой момент и в каком порядке. Он не ждёт вашей команды на каждый шаг.   Обычный чат - это умный помощник которому нужны вы на каждом этапе, чтобы править, напоминать про детали промпта, корректировать, чтобы он не ушел куда не нужно.  Агент - это сотрудник, которому вы поставили задачу и ушли завтракать);2666;3;{':red_heart:': 42, ':thumbs_up:': 10};52877;https://t.me/anjela_p;52;0;40;
2026-03-12 10:23:20+00:00;5762;;Анжела Петкова | ИИ на практике;1277008397;;-1;Чем агент отличается от последовательности задач в Claude? Так как режим Cowork не работал, я написала просто в чат Claude последовательность задач - создать 3 поста вк, 3 в телеграм и 3 в тредс на основе моего сырого наброска и использовать стиль одного из моих проектов в Claude, он сделал и выгрузил все в документ в Гугл диск.;2336;0;;52877;https://t.me/anjela_p;0;1;5;
2026-03-12 09:05:17+00:00;5761;;Анжела Петкова | ИИ на практике;1277008397;;-1;Решила сделать вопрос-ответ, чтобы вы поняли, в каком формате мы будем работать)   Это не вебинар где я красиво рассказываю, вы киваете, потом закрываете ноутбук и идёте жить как жили. ** встречаемся 18 марта в 10:00 по мск (в 15:00 по Бали) ** созвон будет проходить в Zoom в живом формате, запись обязательно будет.  За три часа в живом эфире происходит вот что:  **1. **Сначала разбираемся как вообще работают агенты, как их настраивать, какой функционал есть, чтобы было реальное понимание.   **2. **Потом смотрим для каких задач агентов стоит применять на конкретных кейсах, не абстрактно.   **3. **Внедряем трёх агентов прямо во время эфира: для контента, для воронок, для созвонов. Установили, попробовали, поработали, офигели - это обязательный пункт программы 😁  **4. **По каждому агенту я объясняю как его кастомизировать под себя и свои задачи. Без замудреных действий и кода, он там не нужен.   **5. **Вы сразу поймете, как брать чужие скиллы, плагины, агентов и работать с ними.  —— Какие вопросы у вас еще есть? Накидайте в комменты, буду отвечать 👇;2617;30;{':fire:': 41, ':red_heart:': 13, ':high_voltage:': 6, ':thumbs_up:': 2};52877;https://t.me/anjela_p;62;0;14;
2026-03-12 09:02:41+00:00;5760;;Анжела Петкова | ИИ на практике;1277008397;;-1;Тоже не все понятно 1.достаточно ли времени будет, чтобы за 3 часа разобраться в создании агентов 2. Или это будут даны готовые агенты и как ими пользоваться? Тогда 3 часа понятно для разбора;2498;0;{':clapping_hands:': 3};52877;https://t.me/anjela_p;3;1;2;
2026-03-12 07:45:08+00:00;5759;;Анжела Петкова | ИИ на практике;1277008397;;-1;Даже не верится что такое уже возможно;2935;0;{':red_heart:': 3, ':high_voltage:': 2, ':beaming_face_with_smiling_eyes:': 1, ':face_screaming_in_fear:': 1};52877;https://t.me/anjela_p;7;1;2;
2026-03-11 11:14:24+00:00;5758;;Анжела Петкова | ИИ на практике;1277008397;;-1;"**База контента, которую агент сделал из 1 эфира продюсеров с результатами $2 млн+ на контенте в один клик.**  Один эфир → статья, карусели, рилсы, посты, цитаты, лидмагниты. Всё готово по одной кнопке.  И вот я смотрю на это и думаю, если сейчас это уже возможно, то что это значит для всех нас в ближайшем будущем?  **1. ChatGPT сделал нас быстрее. Агенты делают нас свободнее. ** С ChatGPT ты всё равно сидишь рядом и ведёшь каждый шаг. Агент получает задачу и работает без тебя. Это другой уровень.  **2. Агенты будут работать не чтобы ""оптимизировать рутину"", а чтобы расти.  **Эксперт получает время на новые продукты. Психолог на практику. Владелец магазина на развитие. Фрилансер берёт больше проектов без найма помощника.  Агент освобождает ту часть дня, где ты можешь зарабатывать больше без того, чтобы работать дольше.  **3. Если кто-то упорно продолжит работать по-старому разрыв будет расти каждую неделю. ** Не в теории, а в конкретных часах и деньгах. Те, кто уже внедрит агентов, за одно утро будут делать то, на что раньше уходил день.  **4. У каждого, кто делает контент, развивает бренд или создаёт продукты будет прямая потребность в агентах и людях, которые умеют с ними работать. ** А соответственно такие люди в командах будут иметь более высокий чек за свою работу. Их эффективность может превышать в 10 раз тех, кто не работает с агентами.  Разрыв между ""внедрил агентов"" и ""ещё не внедрил"" только начинает расти. Через полгода он будет ощущаться уже в цифрах и деньгах.  Поэтому я провожу воркшоп по ИИ-агентам.  **Дата: **18 марта **Время: **10:00 по мск (15:00 по Бали) **Сколько по времени: **спокойно закладывайте 3 часа, а там может и больше 😁 **Что подготовить:** [декстопное приложение Claude на комп](https://claude.com/download) и платная подписка  Разберёмся как это работает и ты сразу внедришь себе 3 агентов с моими готовыми наработками внутри. Включая того самого, который из 1 единицы контента делает 16 готовых.  [Все подробности воркшопа тут](https://t.me/agent_workshop_bot?start=start)";3704;43;{':red_heart:': 30, ':fire:': 8, ':beaming_face_with_smiling_eyes:': 4, ':thumbs_up:': 1};52877;https://t.me/anjela_p;43;0;65;
2026-03-11 04:37:43+00:00;5757;;Анжела Петкова | ИИ на практике;1277008397;;-1;Офигенная новость, или что происходит за кадром  Я подала заявку в одно большое оффлайн стартап коммьюнити рядом с Сингапуром и мою заявку одобрили 🥳  Я очень рада буду служить людям в сообществе там со всеми своими маркетинг наработками в AI (ведь кто будет отказываться от 20млн просмотров в месяц по их теме)  Чувствую, что начнется новая эра коллабораций с международной тусовкой после моей жизни там. И все быстро закрутится ))  Уже через 1,5 месяца туда лечу! 😍 буду приносить вам самые свежие новости и актуальные кейсы от кулуарных бесед с зарубежными коллегами;4146;8;{':fire:': 155, ':red_heart:': 76, ':high_voltage:': 23, ':thumbs_up:': 14, ':party_popper:': 4, ':clapping_hands:': 3};52877;https://t.me/anjela_p;275;0;11;
